,FEATTYPE,SCALE,elevation,aspect,slope,Years_befo,NDVI,distance,total_curv,plan_curv,prof_curv,Main_Rock__Granitic Rocks,Main_Rock__Granodiorite,"Main_Rock__Graphitic siltstone, sandstone and marble","Main_Rock__Quartz sandstone, siltstone with conglomerate",Main_Rock__Red conglomerate and coarse sandstone with siltstone,"Main_Rock__Sandstone, siltstone and mudstone","Main_Rock__Superficial Deposits (Silt, sand and gravel)",Main_Rock__Tuff and Lava,Period_Carboniferous,Period_Cretaceous,Period_Devonian,Period_Jurassic,Period_Quaternary,landuse_Agriculture,landuse_Grassland,landuse_Shrubland,landuse_Wetland,landuse_forest,landuse_urban,landuse_water,FACAFF_0,FACAFF_1,FACAFF_2,FACAFF_3,FACAFF_4,Year
26,1,3.0,11,210.964,0.902868,0-1.8,0.187088,224.6834337,-0.159719,-0.0761026,0.0836162,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.8
27,1,3.0,27,133.238,7.08441,0-1.8,0.346537,249.1711671,0.40544,0.295158,-0.110282,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1.8
28,1,2.0,12,217.875,0.882731,0-1.8,0.170337,444.9132786,0.393154,0.20427,-0.188884,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.8
29,1,10.0,43,135.83,7.5128,0-1.8,0.376672,500.8311283,-0.614303,-0.291644,0.322659,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.8
30,1,5.0,51,308.089,3.635,0-1.8,0.36457,77.24677785,-0.565159,-0.487853,0.0773062,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1.8
31,0,1.0,126,287.328,10.0346,0-1.8,0.20854,108.7215815,-0.135147,0.0172005,0.152347,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.8
32,1,1.0,14,296.372,10.1757,0-1.8,0.264548,62.51421256,-0.159719,-0.167529,-0.00781006,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
33,0,400.0,5,262.093,11.1149,0-1.8,0.30099,37.0571572,-0.0982885,-0.0505598,0.0477287,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1.8
34,0,3.0,19,351.529,7.31833,0-1.8,0.198337,158.0203357,-0.0982885,0.0245721,0.122861,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
35,1,2.0,16,262.875,2.49536,0-1.8,0.292951,105.018907,0.0982885,0.01715,-0.0811385,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
36,0,100.0,18,14.0362,0.638451,0-1.8,0.381511,117.6974433,-0.331724,0.00264548,0.334369,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.8
37,1,0.1,12,267.879,4.1765,0-1.8,0.244765,237.8670965,-0.0860024,-0.093522,-0.0075196,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.8
38,1,5.0,9,349.992,1.33635,0-1.8,0.179665,92.70829848,-0.294865,-0.0356768,0.259189,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
39,1,1.5,29,127.476,11.5486,0-1.8,0.284459,39.52985308,-0.196577,-0.034779,0.161798,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1.8
40,1,0.5,27,199.411,8.55563,0-1.8,0.313962,19.23560274,-0.0245721,-0.00506385,0.0195083,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.8
41,1,0.5,20,209.055,4.77188,0-1.8,0.182384,34.80730423,-0.196577,-0.0737164,0.122861,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.8
42,0,15.0,16,345.964,0.638451,0-1.8,0.211817,252.753095,-0.0245721,-0.282624,-0.258052,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1.8
43,1,0.3,212,308.962,11.3024,0-1.8,0.279253,925.5734133,0.0737164,0.0153708,-0.0583456,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.8
44,0,0.5,15,12.7712,5.93301,0-1.8,0.17371,164.2969698,-0.0737164,-0.105861,-0.0321448,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
45,1,0.5,212,308.962,11.3024,0-1.8,0.279253,341.5229611,0.147433,0.0974231,-0.0500096,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.8
46,0,46.0,25,145.008,3.77498,0-1.8,0.25036,302.0780245,0.307151,0.344609,0.0374575,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.8
47,0,1.0,26,168.69,0.394794,0-1.8,0.0748246,39.80975477,-0.589731,-0.252226,0.337505,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
48,0,3.0,16,191.976,2.61013,0-1.8,0.130929,239.5002405,0.184291,0.111011,-0.0732795,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
49,1,3.0,43,357.814,10.0461,0-1.8,0.347651,98.21973606,-0.258007,-0.0984821,0.159525,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.8
50,0,4.0,17,11.3099,0.789551,0-1.8,0.333144,13.44788941,-0.0245721,-0.127118,-0.102546,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.8
51,0,10.0,33,45.0,0.875915,0-1.8,0.293561,692.0831064,-0.0245721,0.157251,0.181824,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1.8
52,1,10.0,8,270.0,0.77422,0-1.8,0.23321,36.17677538,-0.147433,-0.00616086,0.141272,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.8
53,0,1.0,14,123.024,3.68873,0-1.8,0.195684,175.7160983,-0.0245721,-0.162554,-0.137982,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
54,1,5.0,11,227.862,2.19162,0-1.8,0.265789,546.7533825,0.503728,0.292408,-0.21132,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
55,1,3.0,9,186.34,4.19924,0-1.8,0.348524,160.0905607,-0.503728,-0.147433,0.356296,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.8
56,0,0.5,4,292.166,2.25619,0-1.8,0.2585,215.0821606,-0.552873,-0.214351,0.338522,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1.8
57,1,0.5,16,262.875,2.49536,0-1.8,0.301954,31.15909422,-0.319438,-0.0159857,0.303452,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1.8
58,1,1.0,31,338.279,10.144,0-1.8,0.219943,364.0620511,-0.380868,-0.154647,0.226221,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.8
59,1,0.2,35,162.013,12.3419,0-1.8,0.216763,59.21458538,-0.172005,-0.031536,0.140469,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
60,1,21.0,3,270.0,2.01227,0-1.8,0.226066,127.6430594,-0.245721,-0.127056,0.118665,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1.8
61,0,7.0,7,225.0,0.547473,0-1.8,0.197014,693.1835261,-0.172005,0.0945081,0.266513,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.8
62,1,2.0,6,80.2724,5.48214,0-1.8,0.262395,824.1850151,0.835452,0.497248,-0.338204,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1.8
63,0,1.5,53,127.875,4.4053,0-1.8,0.235458,108.6787997,-0.688019,-0.464713,0.223307,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1.8
64,1,2.0,17,244.359,4.2862,0-1.8,0.154606,32.21272274,0.282579,-0.0491442,-0.331724,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1.8
65,1,3.0,10,315.0,1.09485,0-1.8,0.307035,380.6768257,-0.208863,-0.140539,0.0683238,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
66,0,2.5,62,140.974,9.38345,0-1.8,0.244818,9.848171423,0.0491442,0.0207114,-0.0284328,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.8
67,0,5.0,12,156.801,1.17916,0-1.8,0.10189,645.7624361,-0.565159,-0.223019,0.34214,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
68,1,1.7,67,43.0251,3.17408,0-1.8,0.340828,1.408086627,-0.159719,0.0153556,0.175074,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.8
69,1,5.0,13,185.194,2.56391,0-1.8,0.272002,410.8016851,0.184291,0.281417,0.0971266,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1.8
70,1,5.0,23,257.735,3.63991,0-1.8,0.23832,954.835408,-0.761736,-0.298032,0.463704,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
71,0,1.0,31,210.964,4.05645,0-1.8,0.22999,52.78433746,-0.0245721,-0.0497394,-0.0251673,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
72,0,3.0,5,320.194,1.20926,0-1.8,0.108686,1180.084444,0.221149,0.202106,-0.0190434,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
73,0,3.0,15,320.194,1.20926,0-1.8,0.222932,9.766018637,-0.294865,-0.147185,0.14768,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
74,1,80.0,13,290.225,1.56738,0-1.8,0.192582,1262.007352,-0.0982885,-0.0245721,0.0737164,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
75,0,20.0,4,23.1986,1.17916,0-1.8,0.336184,799.0348577,-0.147433,-0.0318389,0.115594,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
76,0,0.0,9,330.945,0.797106,0-1.8,0.253804,879.4586528,0.0122861,0.11782,0.105534,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
77,0,0.0,16,203.962,7.5811,0-1.8,0.274302,894.8372262,0.0,0.0245721,0.0245721,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
78,1,30.0,47,123.69,3.34618,0-1.8,0.318252,25.78340714,-0.0122861,0.195822,0.208108,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1.8
79,1,0.5,20,209.055,4.77188,0-1.8,0.272849,13.13072477,-0.0614303,-0.000692651,0.0607376,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.8
80,0,0.0,15,251.565,0.734494,0-1.8,0.106795,31.96056437,-0.159719,-0.0881906,0.0715282,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
81,1,4.0,8,210.069,3.39575,0-1.8,0.285859,19.02006044,-0.0122861,0.0576505,0.0699365,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
82,1,6.0,147,288.252,14.9767,145-199,0.298734,416.7432172,0.294865,0.121088,-0.173777,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,145.0
83,1,2.6,41,240.068,2.94572,145-199,0.343853,123.3976554,-0.0245721,0.0390263,0.0635984,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,145.0
84,1,0.15,179,188.243,21.1278,145-199,0.374639,619.6514152,-0.294865,0.00302915,0.297895,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,145.0
85,1,0.6,107,287.22,13.6,145-199,0.20809,114.1218136,-0.184291,0.0200916,0.204382,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,145.0
86,1,0.3,179,195.366,20.1622,145-199,0.354624,266.3100412,-0.184291,-0.0573022,0.126989,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,145.0
87,0,5.0,262,33.4399,4.90564,145-199,0.237357,58.44496604,-0.528301,-0.388429,0.139872,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,145.0
88,0,1.5,36,78.6901,5.11874,145-199,0.333672,415.9334316,0.294865,0.121088,-0.173777,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,145.0
89,1,0.3,324,342.578,18.7011,145-199,0.288156,499.7943286,-0.196577,-0.216748,-0.0201715,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,145.0
90,0,3.6,46,350.716,15.8976,145-199,0.270782,176.2305727,-0.626589,-0.249834,0.376756,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,145.0
91,0,7.0,264,52.4671,21.6557,145-199,0.345834,66.87303397,-0.0245721,0.00578168,0.0303538,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,145.0
92,1,13.0,83,134.33,18.0984,145-199,0.370397,798.6904093,-0.147433,-0.0109852,0.136448,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,145.0
93,1,1.0,20,246.801,1.76843,145-199,0.257311,124.245276,0.245721,0.191426,-0.0542949,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,145.0
94,0,20.0,189,257.347,7.72943,145-199,0.289434,4.774038025,0.503728,0.245721,-0.258007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,145.0
95,1,8.8,69,137.684,13.7603,145-199,0.300974,688.551817,-0.0982885,-0.0534444,0.0448441,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,145.0
96,1,20.0,26,276.667,17.4473,145-199,0.225984,1890.568758,0.122861,0.0923573,-0.0305033,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,145.0
97,0,1.0,23,355.03,3.57044,145-199,0.282467,4.939181275,-0.565159,-0.408389,0.15677,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,145.0
98,0,20.0,20,320.711,3.29768,145-199,0.1058,1080.961013,-0.294865,-0.0418433,0.253022,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,145.0
99,1,1.0,17,223.409,7.83764,145-199,0.213156,11.09036778,-0.159719,-0.0374155,0.122303,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,145.0
100,0,2.0,37,356.186,19.0528,145-199,0.233942,630.1241778,-0.0982885,-0.0534444,0.0448441,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,145.0
101,1,2.5,51,128.157,8.21451,145-199,0.319116,990.7616875,-0.0860024,-0.0596932,0.0263092,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,145.0
102,1,1.0,286,296.565,14.891,145-199,0.268443,766.7829346,-0.307151,-0.0716063,0.235545,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,145.0
103,1,19.0,83,134.33,18.0984,145-199,0.363614,14.43160487,-0.307151,-0.111354,0.195797,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,145.0
104,1,20.0,95,96.2034,14.0423,145-199,0.259627,1.764554274,-0.0614303,-0.0743257,-0.0128954,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,145.0
105,1,2.0,109,135.313,19.2766,145-199,0.291988,2058.116234,0.196577,0.0332463,-0.163331,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,145.0
106,1,4.0,25,172.266,6.30358,145-199,0.346089,451.766524,0.602017,0.396372,-0.205645,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,145.0
107,1,0.4,10,203.499,3.87777,145-199,0.329473,177.9828371,-0.0614303,0.0245721,0.0860024,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,145.0
