,SLIDE_TYPE,M_WIDTH,S_LENGTH,SLOPE,COVER,YEAR_1,HEADELEV,TAILELEV,ELE_DIFF,GULLY,CLASS,curv_plan,curv_prof,aspect,curv,ID,history
85424,R,15.0,12.5,44.0,D,1963,411.0,400.0,11.0,N,C1,0.234539,0.037962,85.0106,0.196577,85424,59
68138,O,5.0,6.0,39.0,A,2016,120.0,109.0,11.0,N,-,0.194304,0.0100128,356.455,0.184291,68138,6
20988,R,11.0,5.0,34.0,C,1963,75.0,70.0,5.0,N,B1,0.122861,-0.0245721,326.716,0.147433,20988,59
13365,R,11.0,14.0,35.5,C,1963,189.0,181.0,8.0,N,A2,-0.302237,-0.0319438,0.82237,-0.270293,13365,59
53134,R,15.0,8.5,45.0,C,1963,258.0,250.0,8.0,Y,C2,-0.589456,0.626863,209.846,-1.21632,53134,59
26785,R,13.0,10.0,42.5,C,1963,99.0,90.0,9.0,N,B2,0.367887,0.0607354,-9999.0,0.307151,26785,59
107466,R,13.0,8.5,38.0,D,1963,222.0,216.0,6.0,N,B1,-0.183766,-0.134622,349.695,-0.0491442,107466,59
5912,C,7.5,6.5,32.5,A,2008,474.0,470.0,4.0,N,-,-0.31526,0.0533215,77.8143,-0.368582,5912,14
71480,R,11.0,8.5,29.5,C,1963,237.0,231.0,6.0,N,C1,0.242947,0.120086,250.436,0.122861,71480,59
63133,R,9.0,14.5,38.5,D,1963,344.0,334.0,10.0,N,B2,0.260513,-0.771516,96.259,1.03203,63133,59
92694,R,7.5,10.0,39.5,C,1963,110.0,104.0,6.0,N,A2,0.104639,-0.11651,302.845,0.221149,92694,59
105117,R,9.5,9.0,22.0,C,1963,47.0,42.0,5.0,N,B1,-0.0963983,0.186181,329.162,-0.282579,105117,59
6435,R,12.0,7.5,31.0,D,1963,277.0,272.0,5.0,N,C1,0.242035,-0.273979,323.664,0.516015,6435,59
110123,O,7.0,8.0,32.5,A,1945,21.0,5.0,16.0,N,-,-0.209609,0.134401,-9999.0,-0.34401,110123,77
70131,R,10.0,9.0,40.5,C,1963,52.0,46.0,6.0,N,A2,0.0,0.0614303,144.967,-0.0614303,70131,59
49246,R,13.0,9.5,43.5,C,1963,145.0,138.0,7.0,N,B2,-0.0798594,0.559016,280.646,-0.638875,49246,59
27357,R,14.0,8.5,33.0,C,1963,125.0,119.0,6.0,N,C2,-0.0329,0.212821,-9999.0,-0.245721,27357,59
12225,R,12.0,12.0,39.5,C,1963,136.0,128.0,8.0,N,A2,-0.180871,-0.0825826,-9999.0,-0.0982885,12225,59
90541,R,6.5,8.0,46.5,C,1963,112.0,107.0,5.0,N,C1,-0.10659,-0.00830139,340.241,-0.0982885,90541,59
22697,R,10.0,6.0,26.5,C,1963,290.0,288.0,2.0,N,B1,-0.0524687,0.119536,328.637,-0.172005,22697,59
107994,R,9.5,14.0,35.0,C,1963,109.0,98.0,11.0,N,B1,-0.00793868,0.102636,-9999.0,-0.110575,107994,59
57686,R,12.5,12.5,27.0,C,1963,106.0,98.0,8.0,N,B1,0.0626787,0.173253,91.5208,-0.110575,57686,59
107565,R,8.0,10.0,29.5,C,1963,126.0,119.0,7.0,N,B1,0.0392164,-0.0222139,139.724,0.0614303,107565,59
31104,O,10.0,8.0,49.0,A,1967,287.0,132.0,155.0,N,-,-0.0248641,-0.196869,178.741,0.172005,31104,55
91943,O,5.0,4.0,26.5,A,1945,117.0,112.0,5.0,N,-,-0.254252,0.0283275,17.9494,-0.282579,91943,77
6519,R,13.0,6.5,38.5,C,1963,264.0,261.0,3.0,N,B1,-0.0239138,0.209521,24.2492,-0.233435,6519,59
26932,R,16.0,9.0,32.5,D,1963,127.0,122.0,5.0,N,C2,-0.494879,0.13171,109.872,-0.626589,26932,59
71313,R,12.0,7.0,40.5,C,1963,86.0,81.0,5.0,N,C2,0.218804,-0.00234506,6.84277,0.221149,71313,59
84649,R,11.5,11.0,35.0,D,1963,271.0,265.0,6.0,N,C1,-0.105872,-0.00758346,285.113,-0.0982885,84649,59
82061,R,12.0,32.0,45.0,C,1963,222.0,206.0,16.0,N,A2,-0.0159207,0.0332235,289.923,-0.0491442,82061,59
66800,R,10.0,9.5,36.0,C,1963,248.0,238.0,10.0,N,A2,-0.0764544,0.181553,308.859,-0.258007,66800,59
54458,C,8.0,5.0,31.0,A,1949,164.0,145.0,19.0,Y,-,-0.0602652,0.406605,-9999.0,-0.46687,54458,73
102869,O,8.0,4.0,9999.0,A,1963,9999.0,9999.0,9999.0,N,-,0.0469471,0.145236,168.532,-0.0982885,102869,59
84266,R,14.5,20.0,38.5,D,1963,164.0,155.0,9.0,N,C1,0.0683666,-0.00534975,194.036,0.0737164,84266,59
4537,R,9.0,6.5,22.0,C,1963,252.0,247.0,5.0,N,A2,-0.421865,-0.274432,178.722,-0.147433,4537,59
22813,R,10.0,5.0,49.5,B,1963,80.0,77.0,3.0,N,B2,0.477487,-0.112243,292.27,0.589731,22813,59
75765,R,10.5,14.0,9999.0,D,1963,9999.0,9999.0,9999.0,N,C1,-0.0385528,0.0105914,54.7436,-0.0491442,75765,59
110144,C,7.0,8.0,38.5,A,1945,63.0,45.0,18.0,N,-,-0.0252105,-0.0989268,146.681,0.0737164,110144,77
73999,R,15.0,10.5,59.0,D,1963,434.0,423.0,11.0,N,C2,0.000819435,0.0622497,132.905,-0.0614303,73999,59
89117,R,8.0,10.5,41.5,D,1963,282.0,275.0,7.0,N,C1,-0.091959,-0.0182426,354.903,-0.0737164,89117,59
102843,R,4.0,10.5,9999.0,C,1963,9999.0,9999.0,9999.0,N,B1,-0.236076,0.193936,342.248,-0.430012,102843,59
52716,R,15.0,10.0,9999.0,C,1963,9999.0,9999.0,9999.0,Y,C2,-0.537751,0.162554,241.011,-0.700305,52716,59
65604,R,10.5,12.0,27.0,C,1963,298.0,290.0,8.0,N,A2,0.103914,-0.0926631,235.743,0.196577,65604,59
19703,R,14.0,6.5,39.5,D,1963,83.0,77.0,6.0,N,C1,-0.0587411,0.113264,-9999.0,-0.172005,19703,59
42255,R,11.0,11.5,36.0,C,1963,221.0,213.0,8.0,N,B1,0.0825552,-0.0280193,190.729,0.110575,42255,59
11245,C,8.5,8.5,30.0,A,2008,243.0,159.0,84.0,N,-,1.21325,-1.41597,325.305,2.62922,11245,14
