ID,SLIDE_TYPE,history,predict
447,R,59,2
448,R,59,2
449,R,59,2
450,R,59,1
451,R,59,2
452,R,59,2
453,R,59,2
454,R,59,2
455,R,59,2
456,R,59,1
457,R,59,2
458,R,59,1
459,R,59,2
460,R,59,2
461,R,59,2
462,R,59,1
463,R,59,2
464,R,59,1
465,R,59,1
466,R,59,2
467,R,59,2
468,R,59,2
469,R,59,2
470,R,59,2
471,R,59,3
472,R,59,1
473,R,59,2
474,R,59,2
475,R,59,2
476,R,59,2
477,R,59,2
478,R,59,1
479,R,59,2
480,R,59,1
481,R,59,1
482,R,59,2
483,R,59,2
484,R,59,1
485,R,59,1
486,R,59,2
487,R,59,2
488,R,59,1
489,R,59,2
490,R,59,2
491,R,59,1
492,R,59,2
493,R,59,2
494,R,59,1
495,R,59,2
496,R,59,2
497,R,59,2
498,R,59,2
499,R,59,2
500,R,59,1
501,R,59,2
502,R,59,2
503,R,59,1
504,R,59,1
505,R,59,2
506,R,59,2
507,R,59,2
508,R,59,1
509,R,59,1
510,R,59,1
511,R,59,2
512,R,59,2
513,R,59,1
514,R,59,1
515,R,59,1
516,R,59,1
517,R,59,1
518,R,59,1
519,R,59,1
520,R,59,1
521,R,59,1
522,R,59,1
523,R,59,2
524,R,59,1
525,R,59,2
526,R,59,1
527,R,59,1
528,R,59,1
529,R,59,1
530,R,59,2
531,R,59,1
532,R,59,2
533,R,59,2
534,R,59,2
535,R,59,2
536,R,59,2
537,R,59,2
538,R,59,2
539,R,59,2
540,R,59,2
541,R,59,1
542,R,59,1
543,R,59,2
544,R,59,2
545,R,59,2
546,R,59,2
547,R,59,2
548,R,59,1
549,R,59,2
550,R,59,2
551,R,59,1
552,R,59,2
553,R,59,1
554,R,59,2
555,R,59,2
556,R,59,2
557,R,59,2
558,R,59,2
559,R,59,1
560,R,59,2
561,R,59,2
562,R,59,1
563,R,59,2
564,R,59,1
565,R,59,2
566,R,59,1
567,R,59,1
568,R,59,1
569,R,59,2
570,R,59,2
571,R,59,2
572,R,59,2
573,R,59,1
574,R,59,2
575,R,59,2
576,R,59,2
577,R,59,2
578,R,59,2
579,R,59,2
580,R,59,2
581,R,59,2
582,R,59,2
583,R,59,2
584,R,59,2
585,R,59,2
586,R,59,2
587,R,59,2
588,R,59,2
589,R,59,2
590,R,59,2
591,R,59,2
592,R,59,2
593,R,59,2
594,R,59,2
595,R,59,2
596,R,59,2
597,R,59,2
598,R,59,2
599,R,59,2
600,R,59,2
601,R,59,2
602,R,59,2
603,R,59,2
604,R,59,2
605,R,59,2
606,R,59,2
607,R,59,2
608,R,59,2
609,R,59,2
610,R,59,2
611,R,59,2
612,R,59,2
613,R,59,2
614,R,59,2
615,R,59,2
616,R,59,2
617,R,59,2
618,R,59,2
619,R,59,2
620,R,59,2
621,R,59,2
622,R,59,1
623,R,59,2
624,R,59,2
625,R,59,2
626,R,59,2
627,R,59,2
628,R,59,2
629,R,59,1
630,R,59,2
631,R,59,1
632,R,59,2
633,R,59,2
634,R,59,2
635,R,59,2
636,R,59,3
637,R,59,1
638,R,59,2
639,R,59,2
640,R,59,2
641,R,59,2
642,R,59,2
643,R,59,2
644,R,59,2
645,R,59,2
646,R,59,2
647,R,59,2
648,R,59,2
649,R,59,2
650,R,59,2
651,R,59,2
652,R,59,2
653,R,59,2
654,R,59,2
655,R,59,2
656,R,59,2
657,R,59,2
658,R,59,2
659,R,59,2
660,R,59,2
661,R,59,2
662,R,59,1
663,R,59,2
664,R,59,2
665,R,59,1
666,R,59,2
667,R,59,1
668,R,59,1
669,R,59,2
670,R,59,2
671,R,59,2
672,R,59,2
673,R,59,2
674,R,59,2
675,R,59,1
676,R,59,2
677,R,59,2
678,R,59,2
679,R,59,2
680,R,59,2
681,R,59,1
682,R,59,2
683,R,59,2
684,R,59,2
685,R,59,1
686,R,59,2
687,R,59,1
688,R,59,2
689,R,59,2
690,R,59,2
691,R,59,2
692,R,59,2
693,R,59,2
694,R,59,2
695,R,59,2
696,R,59,2
697,R,59,2
698,R,59,2
699,R,59,2
700,R,59,2
701,R,59,2
702,R,59,2
703,R,59,2
704,R,59,2
705,R,59,2
706,R,59,2
707,R,59,2
708,R,59,2
709,R,59,2
710,R,59,2
711,R,59,2
712,R,59,2
713,R,59,2
714,R,59,2
715,R,59,2
716,R,59,2
717,R,59,2
718,R,59,2
719,,,2
720,,,2
721,,,2
722,,,2
723,R,59,2
724,R,59,2
725,R,59,2
726,R,59,2
727,R,59,2
728,R,59,2
729,R,59,2
730,R,59,2
731,R,59,2
732,R,59,1
733,R,59,2
734,R,59,1
735,R,59,1
736,R,59,2
737,R,59,2
738,R,59,2
739,R,59,2
740,R,59,2
741,R,59,2
742,R,59,2
743,R,59,2
744,R,59,2
745,R,59,1
746,R,59,2
747,R,59,1
748,R,59,1
749,R,59,2
750,R,59,1
751,R,59,1
752,R,59,1
753,R,59,2
754,R,59,1
755,R,59,1
756,R,59,1
757,R,59,2
758,R,59,2
759,R,59,1
760,R,59,1
761,R,59,2
762,R,59,2
763,R,59,1
764,R,59,1
765,R,59,1
766,R,59,2
767,R,59,1
768,R,59,1
769,R,59,2
770,R,59,2
771,R,59,1
772,R,59,1
773,R,59,1
774,R,59,1
775,R,59,1
776,R,59,1
777,R,59,2
778,R,59,1
779,R,59,1
780,R,59,2
781,R,59,2
782,R,59,2
783,R,59,2
784,R,59,2
785,R,59,2
786,R,59,2
787,R,59,1
788,R,59,2
789,R,59,2
790,R,59,1
791,R,59,1
792,R,59,1
793,R,59,1
794,R,59,2
795,R,59,1
796,R,59,2
797,R,59,2
798,R,59,2
799,R,59,2
800,R,59,2
801,R,59,2
802,R,59,2
803,R,59,2
804,R,59,1
805,R,59,2
806,R,59,2
807,R,59,1
808,R,59,2
809,R,59,2
810,R,59,2
811,R,59,2
812,R,59,2
813,R,59,2
814,R,59,2
815,R,59,1
816,R,59,2
817,R,59,1
818,R,59,1
819,R,59,1
820,R,59,1
821,R,59,1
822,R,59,2
823,R,59,2
824,R,59,2
825,R,59,2
826,R,59,1
827,R,59,1
828,R,59,1
829,R,59,1
830,R,59,1
831,R,59,1
832,R,59,2
833,R,59,1
834,R,59,2
835,R,59,1
836,R,59,1
837,R,59,2
838,R,59,1
839,R,59,2
840,R,59,2
841,R,59,2
842,R,59,1
843,R,59,1
844,R,59,2
845,R,59,2
846,R,59,2
847,R,59,2
848,R,59,2
849,R,59,1
850,R,59,2
851,R,59,1
852,R,59,2
853,R,59,2
854,R,59,2
855,R,59,1
856,R,59,2
857,R,59,2
858,R,59,2
859,R,59,2
860,R,59,2
861,R,59,2
862,R,59,2
863,R,59,2
864,R,59,2
865,R,59,2
866,R,59,2
867,R,59,2
868,R,59,1
869,R,59,1
870,R,59,2
871,R,59,1
872,R,59,1
873,R,59,1
874,R,59,2
875,R,59,2
876,R,59,2
877,R,59,2
878,R,59,2
879,R,59,2
880,R,59,2
881,R,59,1
882,R,59,2
883,R,59,1
884,R,59,1
885,R,59,1
886,R,59,2
887,R,59,2
888,R,59,2
889,R,59,2
890,R,59,2
891,R,59,2
892,R,59,2
893,R,59,1
894,R,59,2
895,R,59,2
896,R,59,2
897,R,59,1
898,R,59,1
899,R,59,2
900,R,59,2
901,R,59,2
902,R,59,1
903,R,59,2
904,R,59,2
905,R,59,2
906,R,59,1
907,R,59,2
908,R,59,2
909,R,59,2
910,R,59,2
911,R,59,2
912,R,59,1
913,R,59,2
914,R,59,2
915,R,59,2
916,R,59,2
917,R,59,2
918,R,59,2
919,R,59,1
920,R,59,2
921,R,59,1
922,R,59,2
923,R,59,3
924,R,59,2
925,R,59,2
926,R,59,2
927,R,59,2
928,R,59,2
929,R,59,2
930,R,59,1
931,R,59,2
932,R,59,2
933,R,59,2
934,R,59,2
935,R,59,2
936,R,59,2
937,R,59,1
938,R,59,2
939,R,59,2
940,R,59,2
941,R,59,2
942,R,59,2
943,R,59,2
944,R,59,2
945,R,59,2
946,R,59,2
947,R,59,2
948,R,59,2
949,R,59,2
950,R,59,1
951,R,59,2
952,R,59,1
953,R,59,2
954,R,59,2
955,R,59,2
956,R,59,2
957,R,59,2
958,R,59,2
959,R,59,2
960,R,59,2
961,R,59,2
962,R,59,2
963,R,59,2
964,R,59,1
965,R,59,2
966,R,59,2
967,R,59,2
968,R,59,2
969,R,59,1
970,R,59,2
971,R,59,2
972,R,59,2
973,R,59,2
974,R,59,2
975,R,59,2
976,R,59,2
977,R,59,2
978,R,59,2
979,R,59,2
980,R,59,2
981,R,59,2
982,R,59,1
983,R,59,2
984,R,59,2
985,R,59,2
986,R,59,2
987,R,59,2
988,R,59,2
989,R,59,1
990,R,59,2
991,R,59,2
992,R,59,2
993,R,59,2
994,R,59,1
995,R,59,2
996,R,59,2
997,R,59,2
998,R,59,2
999,R,59,1
1000,R,59,1
1001,R,59,1
1002,R,59,2
1003,R,59,1
1004,R,59,2
1005,R,59,2
1006,R,59,1
1007,R,59,1
1008,R,59,2
1009,R,59,2
1010,R,59,1
1011,R,59,1
1012,R,59,2
1013,R,59,2
1014,R,59,2
1015,R,59,1
1016,R,59,2
1017,R,59,2
1018,R,59,1
1019,R,59,2
1020,R,59,2
1021,R,59,2
1022,R,59,2
1023,R,59,2
1024,R,59,2
1025,R,59,2
1026,R,59,2
1027,R,59,1
1028,R,59,2
1029,R,59,2
1030,R,59,2
1031,R,59,2
1032,R,59,2
1033,R,59,2
1034,R,59,2
1035,R,59,2
1036,R,59,1
1037,R,59,2
1038,R,59,2
1039,R,59,2
1040,R,59,2
1041,R,59,2
1042,R,59,2
1043,R,59,2
1044,R,59,1
1045,R,59,2
1046,R,59,2
1047,R,59,2
1048,R,59,2
1049,R,59,2
1050,R,59,2
1051,R,59,2
1052,R,59,2
1053,R,59,2
1054,R,59,1
1055,R,59,2
1056,R,59,2
1057,R,59,2
1058,R,59,2
1059,R,59,1
1060,R,59,1
1061,R,59,1
1062,R,59,2
1063,R,59,2
1064,R,59,1
1065,R,59,2
1066,R,59,2
1067,R,59,1
1068,R,59,2
1069,R,59,2
1070,R,59,1
1071,R,59,1
1072,R,59,1
1073,R,59,2
1074,R,59,1
1075,R,59,2
1076,R,59,1
1077,R,59,2
1078,R,59,2
1079,R,59,1
1080,R,59,2
1081,R,59,2
1082,R,59,1
1083,R,59,2
1084,R,59,2
1085,R,59,2
1086,R,59,2
1087,R,59,1
1088,R,59,1
1089,R,59,1
1090,R,59,2
1091,R,59,2
1092,R,59,1
1093,R,59,2
1094,R,59,1
1095,R,59,1
1096,R,59,1
1097,R,59,2
1098,R,59,2
1099,R,59,2
1100,R,59,1
1101,R,59,2
1102,R,59,1
1103,R,59,2
1104,R,59,2
1105,R,59,2
1106,R,59,2
1107,R,59,2
1108,R,59,1
1109,R,59,1
1110,R,59,1
1111,R,59,2
1112,R,59,1
1113,R,59,1
1114,R,59,2
1115,R,59,2
1116,R,59,2
1117,R,59,2
1118,R,59,2
1119,R,59,2
1120,R,59,1
1121,R,59,2
1122,R,59,2
1123,R,59,2
1124,R,59,2
1125,R,59,2
1126,R,59,2
1127,R,59,2
1128,R,59,2
1129,R,59,2
1130,R,59,2
1131,R,59,1
1132,R,59,2
1133,R,59,1
1134,R,59,1
1135,R,59,2
1136,R,59,2
1137,R,59,2
1138,R,59,1
1139,R,59,2
1140,R,59,2
1141,R,59,2
1142,R,59,2
1143,R,59,2
1144,R,59,2
1145,R,59,1
1146,R,59,1
1147,R,59,1
1148,R,59,1
